,DATE,RV,GAS_PRICE_IND,OIL_PRICE
106,2004-11-01,0.74,66.06,89.13
107,2004-12-01,0.78,66.06,84.63
108,2005-01-01,0.77,63.96,83.24
109,2005-02-01,0.76,63.96,83.62
110,2005-03-01,0.67,58.02,86.15
111,2005-04-01,0.64,58.02,90.89
112,2005-05-01,0.67,60.75,90.3
113,2005-06-01,0.66,59.75,90.83
114,2005-07-01,0.64,61.67,96.08
115,2005-08-01,0.63,61.67,98.16
116,2005-09-01,0.6,61.67,102.3
117,2005-10-01,0.6,61.67,103.56
118,2005-11-01,0.65,65.19,100.7
119,2005-12-01,0.66,65.19,99.4
120,2006-01-01,0.69,69.76,100.93
121,2006-02-01,0.69,69.76,101.83
122,2006-03-01,0.68,69.76,102.17
123,2006-04-01,0.66,69.76,105.24
124,2006-05-01,0.66,69.76,106.38
125,2006-06-01,0.65,69.76,106.76
126,2006-07-01,0.69,75.57,108.98
127,2006-08-01,0.69,75.57,109.87
128,2006-09-01,0.78,82.68,106.38
129,2006-10-01,0.82,82.68,100.38
130,2006-11-01,0.78,76.69,98.3
131,2006-12-01,0.78,76.69,98.47
132,2007-01-01,0.76,73.6,97.08
133,2007-02-01,0.76,73.6,97.25
134,2007-03-01,0.71,71.55,100.31
135,2007-04-01,0.69,71.55,103.96
136,2007-05-01,0.7,74.89,107.27
137,2007-06-01,0.69,74.89,108.09
138,2007-07-01,0.68,74.89,109.95
139,2007-08-01,0.68,74.89,109.85
140,2007-09-01,0.74,83.24,112.46
141,2007-10-01,0.72,83.24,115.2
142,2007-11-01,0.7,85.65,122.21
143,2007-12-01,0.67,85.65,127.47
144,2008-01-01,0.65,83.24,128.93
145,2008-02-01,0.64,83.24,129.37
146,2008-03-01,0.62,83.24,133.6
147,2008-04-01,0.59,83.24,141.35
148,2008-05-01,0.53,83.24,155.7
149,2008-06-01,0.49,83.24,169.09
150,2008-07-01,0.48,83.24,173.66
151,2008-08-01,0.51,83.24,163.44
152,2008-09-01,0.53,83.24,158.03
153,2008-10-01,0.57,83.24,146.95
154,2008-11-01,0.7,86.52,123.5
155,2008-12-01,0.81,89.36,110.87
156,2009-01-01,0.81,88.12,108.25
157,2009-02-01,0.78,88.12,112.74
158,2009-03-01,0.77,88.12,114.0
159,2009-04-01,0.77,89.36,116.29
160,2009-05-01,0.78,89.36,114.22
161,2009-06-01,0.73,90.34,122.97
162,2009-07-01,0.77,96.46,125.52
163,2009-08-01,0.74,96.46,131.19
164,2009-09-01,0.74,96.46,129.6
165,2009-10-01,0.77,96.46,126.06
166,2009-11-01,0.73,96.46,131.97
167,2009-12-01,0.73,96.46,132.41
168,2010-01-01,0.73,98.43,134.87
169,2010-02-01,0.75,98.43,131.36
170,2010-03-01,0.72,98.43,136.73
171,2010-04-01,0.7,98.43,140.34
172,2010-05-01,0.71,98.43,139.13
173,2010-06-01,0.72,98.43,136.68
174,2010-07-01,0.73,98.43,135.03
175,2010-08-01,0.72,98.43,136.34
176,2010-09-01,0.76,102.41,134.65
177,2010-10-01,0.74,102.41,138.88
178,2010-11-01,0.68,96.84,143.15
179,2010-12-01,0.63,96.84,153.5
180,2011-01-01,0.64,102.22,160.24
181,2011-02-01,0.62,102.22,164.03
182,2011-03-01,0.57,102.22,179.88
183,2011-04-01,0.55,102.22,184.78
184,2011-05-01,0.6,108.22,179.36
185,2011-06-01,0.62,108.22,174.18
186,2011-07-01,0.62,108.22,175.92
187,2011-08-01,0.62,108.22,173.9
188,2011-09-01,0.61,108.22,178.29
189,2011-10-01,0.64,114.52,179.36
190,2011-11-01,0.64,114.52,177.85
191,2011-12-01,0.64,114.52,179.35
192,2012-01-01,0.62,114.52,185.95
193,2012-02-01,0.6,114.52,191.89
194,2012-03-01,0.58,114.52,198.14
195,2012-04-01,0.58,114.52,198.45
196,2012-05-01,0.61,114.52,186.35
197,2012-06-01,0.67,114.52,171.1
198,2012-07-01,0.67,114.52,171.44
199,2012-08-01,0.63,114.52,182.28
200,2012-09-01,0.61,114.52,188.12
201,2012-10-01,0.63,114.52,183.09
202,2012-11-01,0.65,114.52,176.76
203,2012-12-01,0.66,114.52,174.34
204,2013-01-01,0.66,114.52,174.1
205,2013-02-01,0.63,115.87,183.64
206,2013-03-01,0.68,119.94,176.45
207,2013-04-01,0.71,119.94,169.75
208,2013-05-01,0.72,119.94,166.99
209,2013-06-01,0.71,119.94,169.56
210,2013-07-01,0.69,119.94,174.47
211,2013-08-01,0.69,119.94,174.29
212,2013-09-01,0.7,120.95,173.6
213,2013-10-01,0.72,120.95,167.88
214,2013-11-01,0.72,120.95,168.31
215,2013-12-01,0.7,120.95,172.01
216,2014-01-01,0.76,128.61,169.17
217,2014-02-01,0.76,128.61,170.14
218,2014-03-01,0.76,128.61,169.62
219,2014-04-01,0.78,128.61,165.79
220,2014-05-01,0.78,128.61,164.01
221,2014-06-01,0.79,128.61,136.09
222,2014-07-01,0.78,127.19,162.33
223,2014-08-01,0.82,128.19,155.94
224,2014-09-01,0.84,129.19,151.74
225,2014-10-01,0.89,130.19,142.28
226,2014-11-01,0.94,131.19,134.87
227,2014-12-01,1.11,132.19,114.31
228,2015-01-01,1.27,119.11,94.13
229,2015-02-01,1.19,119.11,100.36
230,2015-03-01,0.99,104.62,105.83
231,2015-04-01,1.01,104.62,103.84
232,2015-05-01,0.82,91.79,111.89
233,2015-06-01,0.81,91.79,113.11
234,2015-07-01,0.87,91.79,106.01
235,2015-08-01,0.94,91.79,98.07
236,2015-09-01,1.01,96.34,95.3
237,2015-10-01,1.02,96.34,94.17
238,2015-11-01,1.05,96.34,91.71
239,2015-12-01,1.13,96.34,85.5
240,2016-01-01,1.15,86.54,75.08
241,2016-02-01,1.2,86.54,72.07
242,2016-03-01,1.0,77.11,77.2
243,2016-04-01,0.97,77.11,79.31
244,2016-05-01,0.83,70.93,85.79
245,2016-06-01,0.79,70.93,90.35
246,2016-07-01,0.81,70.93,87.54
247,2016-08-01,0.86,70.93,82.75
248,2016-09-01,0.84,70.93,84.17
249,2016-10-01,0.78,70.93,90.68
250,2016-11-01,0.83,76.09,91.62
251,2016-12-01,0.77,76.09,99.17
252,2017-01-01,0.72,76.09,106.13
253,2017-02-01,0.76,76.09,103.73
254,2017-03-01,0.79,78.88,99.84
255,2017-04-01,0.78,78.88,100.66
256,2017-05-01,0.86,82.89,96.17
257,2017-06-01,0.91,82.89,91.36
258,2017-07-01,0.89,82.89,93.03
259,2017-08-01,0.86,82.89,96.72
260,2017-09-01,0.81,82.89,102.15
261,2017-10-01,0.79,82.89,104.61
262,2017-11-01,0.67,73.95,109.78
263,2017-12-01,0.66,73.95,111.3
264,2018-01-01,0.65,73.95,113.2
265,2018-02-01,0.66,73.95,111.85
266,2018-03-01,0.67,73.95,110.61
267,2018-04-01,0.64,73.95,114.73
268,2018-05-01,0.62,76.41,122.9
269,2018-06-01,0.62,76.41,123.0
270,2018-07-01,0.63,80.13,127.34
271,2018-08-01,0.63,80.13,127.81
272,2018-09-01,0.6,80.13,133.3
273,2018-10-01,0.59,80.13,136.55
274,2018-11-01,0.66,80.13,121.36
275,2018-12-01,0.74,80.13,108.48
276,2019-01-01,0.77,80.13,103.66
277,2019-02-01,0.74,80.13,108.21
278,2019-03-01,0.69,80.13,115.77
279,2019-04-01,0.66,80.13,120.99
280,2019-05-01,0.65,80.13,123.45
281,2019-06-01,0.7,80.13,115.01
282,2019-07-01,0.73,84.7,116.15
283,2019-08-01,0.73,84.7,115.29
284,2019-09-01,0.73,84.7,115.88
285,2019-10-01,0.73,84.7,116.43
286,2019-11-01,0.72,84.7,117.19
287,2019-12-01,0.71,84.7,120.12
288,2020-01-01,0.71,84.7,119.47
289,2020-02-01,0.77,84.7,110.13
290,2020-03-01,0.98,847.0,86.64
291,2020-04-01,1.33,84.7,63.83
292,2020-05-01,1.33,84.7,63.69
293,2020-06-01,1.07,84.7,78.99
294,2020-07-01,0.85,70.98,83.16
295,2020-08-01,0.86,72.93,84.71
296,2020-09-01,0.8,65.24,81.26
297,2020-10-01,0.76,59.16,78.13
298,2020-11-01,0.75,58.72,78.64
299,2020-12-01,0.72,63.87,88.53
