DATE,QVA
2012-03-01,101329.1
2012-04-01,101811.7
2012-05-01,101811.7
2012-06-01,101811.7
2012-07-01,102435.5
2012-08-01,102435.5
2012-09-01,102435.5
2012-10-01,102383.7
2012-11-01,102383.7
2012-12-01,102383.7
2013-01-01,103845.1
2013-02-01,103845.1
2013-03-01,103845.1
2013-04-01,104805.9
2013-05-01,104805.9
2013-06-01,104805.9
2013-07-01,105570.2
2013-08-01,105570.2
2013-09-01,105570.2
2013-10-01,106271.9
2013-11-01,106271.9
2013-12-01,106271.9
2014-01-01,108107.8
2014-02-01,108107.8
2014-03-01,108107.8
2014-04-01,109409.5
2014-05-01,109409.5
2014-06-01,109409.5
2014-07-01,108224.0
2014-08-01,108224.0
2014-09-01,108224.0
2014-10-01,108112.3
2014-11-01,108112.3
2014-12-01,108112.3
2015-01-01,109293.8
2015-02-01,109293.8
2015-03-01,109293.8
2015-04-01,109932.2
2015-05-01,109932.2
2015-06-01,109932.2
2015-07-01,110819.6
2015-08-01,110819.6
2015-09-01,110819.6
2015-10-01,111088.0
2015-11-01,111088.0
2015-12-01,111088.0
2016-01-01,111242.2
2016-02-01,111242.2
2016-03-01,111242.2
2016-04-01,113539.4
2016-05-01,113539.4
2016-06-01,113539.4
2016-07-01,112372.0
2016-08-01,112372.0
2016-09-01,112372.0
2016-10-01,114140.6
2016-11-01,114140.6
2016-12-01,114140.6
2017-01-01,116370.5
2017-02-01,116370.5
2017-03-01,116370.5
2017-04-01,116327.5
2017-05-01,116327.5
2017-06-01,116327.5
2017-07-01,118923.1
2017-08-01,118923.1
2017-09-01,118923.1
2017-10-01,116449.3
2017-11-01,116449.3
2017-12-01,116449.3
2018-01-01,118178.2
2018-02-01,118178.2
2018-03-01,118178.2
2018-04-01,120138.5
2018-05-01,120138.5
2018-06-01,120138.5
2018-07-01,112349.0
2018-08-01,112349.0
2018-09-01,112349.0
2018-10-01,122864.4
2018-11-01,122864.4
2018-12-01,122864.4
2019-01-01,119760.8
2019-02-01,119760.8
2019-03-01,119760.8
2019-04-01,120997.2
2019-05-01,120997.2
2019-06-01,120997.2
2019-07-01,123266.6
2019-08-01,123266.6
2019-09-01,123266.6
2019-10-01,124910.1
2019-11-01,124910.1
2019-12-01,124910.1
2020-01-01,124049.0
2020-02-01,124049.0
2020-03-01,124049.0
2020-04-01,113154.3
2020-05-01,113154.3
2020-06-01,113154.3
2020-07-01,121747.5
2020-08-01,121747.5
2020-09-01,121747.5
2020-10-01,124740.4
2020-11-01,124740.4
2020-12-01,124740.4
